source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,distance_pc
34676917408054528,45.967142929615854,16.954159799643595,21.656432882792352,1141.0845,13.673948,2.4458466,46.17565623166752
36955414740605824,56.88220525254294,12.019665705483892,23.91112793285398,129.23337,16.450998,3.971468,41.82153191635917
37550555471818880,54.33315600781102,12.19724669340582,18.104643665298934,86.10568,18.13366,4.1800346,55.23444805029188
38535825266420224,59.97207560211466,13.428963376887122,29.387397797288138,1286.7422,13.551019,2.8060684,34.02819150228673
41186507280697216,54.46044968222048,13.885198503481822,17.645520543555318,43.995815,19.278032,3.4535007,56.671606685200935
41641773816260736,54.71012283437076,15.3514560123118,19.478729591531597,48.762886,10.575273,1.5752096,51.33805032309455
45770783575075968,63.89569436950035,16.762287744082474,20.881553135526133,981.6531,13.9761,2.7397203,47.88915812486589
46458115782368384,59.813208220111264,16.66430695266399,23.772311569431768,854.62555,14.316654,3.0018263,42.06574514553627
48197783694869760,65.84566930782594,19.658531350570183,21.59864636466577,38.953323,9.1158905,1.1155329,46.299197788429304
48225477643858176,64.78919528332048,19.475658613674327,22.90995031611896,689.7696,13.719553,2.762906,43.64915620512809
48312407781020672,66.53517422547033,19.99184829587148,17.87919301690629,12.130479,19.70183,2.4518337,55.93093597985185
49231668222673920,65.38237014650547,21.03971713386797,20.56339390615933,823.2571,6.688817,0.57329607,48.63010476594874
51497418090942720,59.55958140514105,21.05098587404604,21.405052458848488,303.17105,15.810151,3.6766558,46.71794203366303
52129912155584512,61.43729396689229,20.795966024612728,31.61669906635643,980.07434,14.58075,3.07759,31.62885530526834
57744155965790720,51.68691204167803,19.323321507523907,38.4456298919926,61.002087,17.60012,4.8618183,26.010758643033146
60040176760223744,45.54162376052159,19.52037711866329,31.26383878111625,869.24457,12.531257,2.5806751,31.98583536081988
62948174562535808,51.02777097892468,23.785176371433774,48.25760610980576,842.99677,10.797814,2.2600489,20.722121974401126
64085383120724864,58.02431902278248,22.67012330366188,33.56092341260861,1737.4778,7.4001384,0.8604717,29.796557970282393
64420871604166272,55.180346290621685,22.25188614818644,26.756440289564114,343.26987,16.940031,4.056264,37.37417941915213
65154726896576512,55.55101919083791,23.77458668339533,18.1874597365871,882.3067,12.889624,2.2807312,54.98293959042194
65588896552347008,58.29643148464262,22.8227231307455,17.251520718077952,73.8082,18.466442,4.200533,57.96590435949772
69092112394903936,51.21030037381445,25.054443112416752,16.40319113316163,988.2745,12.099167,1.8057184,60.96374735147375
69990202940592896,57.33028370900287,25.91317678207244,18.957555683630115,55.32661,19.290886,1.5317669,52.74941646952417
71505918375609728,56.49169559953466,27.559282671645743,17.909329866049564,556.9633,10.368075,1.4013052,55.83681843370836
73781873084091264,34.11659104145297,12.378792547504508,27.264020252811928,892.6626,7.8064985,0.92699957,36.67837650967351
74641485018629888,36.39017984268448,13.265494367387536,19.86204302163052,1169.4897,13.355564,2.3167038,50.347287985982206
76615005311213056,31.14696551641713,12.585357255220156,25.53919548843864,764.13776,15.1392565,3.0666094,39.15550121587388
77161217776670208,32.717524003731334,13.682958143895934,23.304385281112328,822.7516,8.025245,0.8247676,42.910378795122185
78158307319778944,30.000222062037423,15.074302761459082,18.48431478886695,464.69818,15.523226,2.9567566,54.09992263290696
79151406837847808,33.29926230215668,15.751999341219731,20.35094278606245,458.7857,15.68018,3.15975,49.137772658122756
80705360365289344,34.76026773195981,18.273798153152036,16.564925498261694,95.130684,17.323586,4.131706,60.368517812225534
84210874016975360,43.26206752683282,19.48530195843993,35.07250547347128,842.1942,14.851063,3.3083887,28.512362789604424
84680129258803584,41.15704736149324,19.494406523752456,22.71853468018381,118.7312,18.090427,4.1231823,44.01692336575948
86306233942113408,38.6166475054636,19.377565351483987,29.930192262303464,1097.1984,12.292268,2.500597,33.41107839322108
87035454964234368,34.6160375538288,19.51243485753724,19.27459559442045,745.20447,13.973879,2.5389357,51.88176297143567
89165827463062144,38.28850799393815,21.993233936060065,31.35058153891743,1074.8275,14.4088335,2.9513903,31.897334942850666
89443832106280064,37.57796744413644,22.50612257607782,24.534664570374986,510.00677,15.462407,3.2076454,40.75865790345778
96740569225166208,25.45110478801367,21.28033027647373,18.93809683110084,414.79657,15.09268,2.863842,52.80361637805987
98179211470665984,27.116330471693374,22.06024414865137,17.70812828023597,397.28198,15.12827,2.8353882,56.47124214229345
98692339803443328,29.208498292586096,23.038840387121013,29.536575004917797,1652.7222,10.482594,1.7792711,33.85632896954036
102535064223209216,34.76113958387104,23.8815864192938,44.22138478220736,1519.8564,12.711509,2.8267603,22.613493560300125
109152268796673024,46.2036227204789,22.61057224968916,23.125469576916267,115.55506,14.474213,3.2002773,43.242365162530376
109943023815568640,45.74130930214807,23.06112586201984,19.990644241844517,831.48096,12.595132,2.1867762,50.02340034178563
110132174175055872,43.9212885784999,23.145688896763616,18.075559721703407,825.21484,13.671392,2.6374474,55.32332140173206
111318719022066944,48.58642556107707,25.15902674626981,17.149504125770626,191.3214,16.62692,3.45253,58.310723894185145
111379432679196672,49.4423591748814,25.25015392509532,46.06079767926949,2269.7446,10.901909,2.1814528,21.710435997292084
