source_id,abs_mag,bp_rp,spectral_type,distance_pc,estimated_mass,is_sun_like
4124388585406540800,16.253024554352457,1.5086155,K,47.78406462869651,0.07074529217848462,False
4124437303147608192,14.904353752757666,1.123333,G,44.514064366679925,0.09650829092478329,False
4124449402117637504,16.412393760415952,1.5129547,K,49.88978678808469,0.0681962703801563,False
4124675867131334656,16.762864628529154,1.5067654,K,57.32106810099673,0.0629091094284083,False
4124685350421538688,18.48990747029315,1.237957,K,26.533620050245144,0.042267761963436366,False
4124689473585993344,16.476865651632362,1.8307743,M,58.89855901569041,0.0671913605004655,False
4124788841937288320,16.33424372301459,,M,57.27781671304589,0.0694345503965317,False
4124804849284209792,15.757216037358877,1.209692,K,56.57044467232211,0.07930095113328063,False
4124824301207125248,15.594064086742005,,M,59.840550845510286,0.08233672550870312,False
4124840896971216512,16.21529575960318,1.0107803,G,59.510314863099694,0.07136256047323232,False
4125047841334252928,15.793462244434757,1.398819,K,45.7965488045834,0.07864185979786492,False
4127757970022960000,18.023530558066774,2.233511,M,33.59449278179874,0.047059460518658246,False
4128848956112011264,10.884953479020131,2.865592,M,27.2450308623415,0.24350318835121976,False
4129441219221297792,17.768319901542007,1.5057449,K,36.86632265219577,0.04990775217353414,False
4129903323335083392,16.771622008193386,1.2794762,K,58.91544988633613,0.06278238346288192,False
4130528464421035008,12.318492816483028,3.2230463,M,59.79818971740022,0.17504540640076857,False
4135896245825110784,16.944669337872018,1.3222866,K,32.85576113024978,0.060329964006644005,False
4136307944212495872,16.495059665321534,1.6703796,M,55.35163667693957,0.06691046275235867,False
4136352955464884480,15.706068839887823,1.574194,K,45.34648534920727,0.08024040573251802,False
4136557876943518976,16.54835140454746,1.7030296,M,42.985711451440494,0.06609442969178189,False
4136940953689823232,15.711903257380483,1.2228584,K,57.04223697542257,0.0801326811997398,False
4136994898459000960,17.82798486847923,0.39024925,F,35.65741259379738,0.04922678955821555,False
4137063201327659264,15.396361141572589,1.4425144,K,50.19075997307004,0.08617154623188122,False
4137147283897505920,16.132252002658284,2.2863064,M,54.10253310776941,0.07274025174055772,False
4137734865485308800,7.841084009494222,1.7679749,M,30.59234709879811,0.49078535965436904,False
4141205787474251904,16.874089463914817,1.6185703,M,58.185303933366505,0.06131843380938887,False
4142887834104027520,16.674639422279654,2.103569,M,58.8119413611357,0.0642001522170448,False
4143416149456029952,16.267075199228312,2.663437,M,46.626579836419154,0.07051678115908044,False
4143749404671843712,16.843959871575773,2.3608131,M,51.83596950337997,0.06174531532365948,False
4143956795637951360,17.62523309036084,2.6839848,M,34.46726172256103,0.05157944811036775,False
4144106299170511360,15.599619158122833,2.8784447,M,46.48640572929608,0.08223147572792819,False
4144132550004233728,15.90032171607676,3.0821495,M,59.38211432674759,0.07673046469669849,False
4144138666036574848,16.011277365471894,1.7679806,M,53.239519463442434,0.07479494780619948,False
4144183436772204544,16.504061034421113,,M,53.874939208090005,0.06677192494757787,False
4144188071030778880,16.411518144179936,2.1768475,M,59.81806649270109,0.06821002136805988,False
4144200303100382464,10.393231344391745,2.7682028,M,43.995507434455206,0.27269480569785093,False
4144456631148565760,15.568214768789888,1.7331676,M,58.59385152495808,0.08282825714506019,False
4144528889634790272,16.454262687667597,1.4427433,K,55.93332827099498,0.06754197119134604,False
4144580081288985600,15.249723287082647,1.9639912,M,58.74189363805339,0.08913077264454573,False
4144603862534844160,16.522357909344194,2.056713,M,55.83041012270442,0.06649120583521768,False
4144691613003661696,16.016988235264776,2.075739,M,51.873189606551264,0.07469665885557622,False
4144739308622411648,16.444292221161323,2.240181,M,57.45885345776104,0.06769721114969374,False
4144808337366865536,16.1714302931114,1.5538483,K,58.79347653903827,0.07208700307963077,False
4144869119715162624,16.703430244507132,,M,60.97094848360912,0.06377595572908375,False
4145151865984653696,16.130164687270106,,M,59.54211573402748,0.07277522071802466,False
